Model,Algorithm,k,k-way Time (s),Collapsed Time (s),Speedup,% Change,t-statistic,p-value
armadillo,bsah,4,1.0342,1.0303,1.004,-0.4,1.053,3.17e-01
stanford-bunny,bsah,4,0.9538,0.9522,1.002,-0.2,1.117,2.82e-01
suzanne,bsah,4,1.1453,1.1454,1.0,0.0,-0.106,9.17e-01
teapot,bsah,4,0.8571,0.8583,0.999,0.1,-1.84,8.32e-02
armadillo,median,4,1.246,1.2461,1.0,0.0,-0.181,8.59e-01
stanford-bunny,median,4,1.1095,1.1135,0.996,0.4,-0.961,3.61e-01
suzanne,median,4,1.4127,1.4121,1.0,-0.0,0.771,4.51e-01
teapot,median,4,1.0108,1.0105,1.0,-0.0,0.393,7.00e-01
armadillo,sah,4,1.0088,1.0095,0.999,0.1,-0.442,6.64e-01
stanford-bunny,sah,4,0.937,0.937,1.0,0.0,-0.021,9.84e-01
suzanne,sah,4,1.0957,1.0966,0.999,0.1,-1.154,2.64e-01
teapot,sah,4,0.8394,0.8395,1.0,0.0,-0.381,7.09e-01
armadillo,bsah,8,1.6509,1.6526,0.999,0.1,-1.286,2.16e-01
stanford-bunny,bsah,8,1.4894,1.4908,0.999,0.1,-0.499,6.28e-01
suzanne,bsah,8,1.6105,1.6133,0.998,0.2,-0.951,3.62e-01
teapot,bsah,8,1.2564,1.2575,0.999,0.1,-1.239,2.32e-01
armadillo,median,8,2.0661,2.0679,0.999,0.1,-1.951,6.77e-02
stanford-bunny,median,8,1.6448,1.646,0.999,0.1,-1.095,2.94e-01
suzanne,median,8,1.9956,1.9939,1.001,-0.1,1.197,2.47e-01
teapot,median,8,1.5336,1.5337,1.0,0.0,-0.001,9.99e-01
armadillo,sah,8,1.6146,1.6144,1.0,-0.0,0.24,8.13e-01
stanford-bunny,sah,8,1.4826,1.4824,1.0,-0.0,0.142,8.89e-01
suzanne,sah,8,1.5678,1.5675,1.0,-0.0,0.294,7.74e-01
teapot,sah,8,1.2339,1.2324,1.001,-0.1,1.816,8.66e-02
armadillo,bsah,16,10.8353,10.8317,1.0,-0.0,0.388,7.03e-01
stanford-bunny,bsah,16,8.0744,8.0903,0.998,0.2,-1.842,9.08e-02
suzanne,bsah,16,7.4572,7.4515,1.001,-0.1,1.306,2.10e-01
teapot,bsah,16,5.6653,5.6631,1.0,-0.0,0.531,6.03e-01
armadillo,median,16,13.5286,13.5332,1.0,0.0,-0.494,6.27e-01
stanford-bunny,median,16,8.5196,8.5266,0.999,0.1,-1.399,1.81e-01
suzanne,median,16,8.959,8.9617,1.0,0.0,-0.55,5.89e-01
teapot,median,16,5.8345,5.8335,1.0,-0.0,0.242,8.13e-01
armadillo,sah,16,10.7042,10.6974,1.001,-0.1,0.783,4.44e-01
stanford-bunny,sah,16,8.1343,8.1438,0.999,0.1,-1.991,6.51e-02
suzanne,sah,16,7.2457,7.2516,0.999,0.1,-1.585,1.32e-01
teapot,sah,16,5.6444,5.6447,1.0,0.0,-0.099,9.22e-01
