Model,Algorithm,k,collapsed Time (s),k-way Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,1.11355,1.13731,0.97911,0.97688,0.98109,2.13335,-18.19964,1.54e-09***
stanford-bunny,bsah,4,1.03063,1.08736,0.94783,0.94593,0.95028,5.50452,-43.33594,7.41e-16***
suzanne,bsah,4,1.20575,1.21518,0.99224,0.99077,0.99372,0.78184,-9.69173,1.52e-08***
teapot,bsah,4,0.93322,0.96895,0.96313,0.9616,0.96469,3.82865,-43.61848,1.39e-18***
armadillo,median,4,1.52319,1.44706,1.05261,1.05042,1.05474,-4.99788,46.77239,3.05e-20***
stanford-bunny,median,4,1.3272,1.22297,1.08523,1.08254,1.08821,-7.85332,59.24322,1.33e-19***
suzanne,median,4,1.6771,1.3071,1.28306,1.28119,1.28502,-22.06159,305.78233,2.33e-32***
teapot,median,4,1.22635,1.20319,1.01925,1.01735,1.0212,-1.88821,18.57666,9.25e-13***
armadillo,sah,4,1.0742,1.07949,0.99509,0.99317,0.99712,0.49302,-4.64066,2.84e-04***
stanford-bunny,sah,4,0.99828,1.02768,0.9714,0.9699,0.97292,2.94454,-34.67249,1.14e-17***
suzanne,sah,4,1.15126,1.14729,1.00346,1.0012,1.0059,-0.34484,2.72758,1.79e-02*
teapot,sah,4,0.89869,0.85101,1.05603,1.05423,1.05782,-5.30541,59.15829,1.17e-19***
armadillo,bsah,8,1.84448,1.51793,1.21513,1.21353,1.21676,-17.70442,275.92698,4.81e-34***
stanford-bunny,bsah,8,1.66523,1.36558,1.21942,1.218,1.2209,-17.99412,311.21909,4.90e-35***
suzanne,bsah,8,1.78827,1.68226,1.06301,1.06181,1.06421,-5.9277,99.46194,8.63e-26***
teapot,bsah,8,1.40276,1.25083,1.12146,1.12018,1.12275,-10.83024,179.63594,4.98e-25***
armadillo,median,8,2.68246,1.81479,1.47811,1.47415,1.48243,-32.34614,269.92761,6.35e-34***
stanford-bunny,median,8,2.08941,1.67889,1.24451,1.24175,1.24742,-19.64731,186.85016,4.91e-30***
suzanne,median,8,2.49868,1.86262,1.34148,1.33901,1.34421,-25.45564,299.98959,8.98e-33***
teapot,median,8,1.96148,1.63747,1.19788,1.19585,1.20005,-16.51891,200.38022,1.90e-27***
armadillo,sah,8,1.74258,1.43501,1.21433,1.21291,1.21596,-17.65032,302.76313,4.37e-30***
stanford-bunny,sah,8,1.59775,1.31894,1.21139,1.20946,1.21329,-17.45037,229.59381,5.83e-32***
suzanne,sah,8,1.66295,1.5772,1.05437,1.05299,1.05574,-5.1565,74.99242,1.58e-23***
teapot,sah,8,1.32236,1.17502,1.12539,1.12396,1.12683,-11.14183,175.998,9.83e-28***
armadillo,bsah,16,12.47347,2.10734,5.91906,5.91112,5.92639,-83.10544,1975.80381,4.52e-29***
stanford-bunny,bsah,16,9.30903,1.78665,5.21033,5.20457,5.21606,-80.80737,2560.30674,6.43e-33***
suzanne,bsah,16,8.42764,2.10572,4.00225,3.9968,4.0076,-75.01408,1596.59604,1.53e-30***
teapot,bsah,16,6.49817,1.83386,3.54344,3.53421,3.55079,-71.77881,1124.72637,3.86e-37***
armadillo,median,16,18.45224,3.04918,6.05155,6.04144,6.06181,-83.4753,1334.46353,1.49e-26***
stanford-bunny,median,16,11.52132,2.74791,4.19276,4.18477,4.20168,-76.14935,1297.94981,4.12e-32***
suzanne,median,16,11.98956,2.42236,4.94954,4.93997,4.95927,-79.7961,1276.91912,1.35e-28***
teapot,median,16,7.83696,3.18502,2.46057,2.45628,2.46474,-59.35899,866.84898,5.31e-31***
armadillo,sah,16,11.77749,2.38811,4.93172,4.91818,4.94142,-79.72309,1755.2863,4.94e-43***
stanford-bunny,sah,16,8.90724,1.9614,4.54126,4.53622,4.5463,-77.97969,1608.39711,5.12e-27***
suzanne,sah,16,7.88948,2.2137,3.56394,3.5586,3.56953,-71.94116,1020.08845,2.12e-25***
teapot,sah,16,6.17779,2.27594,2.71439,2.7109,2.71738,-63.15938,2134.44923,1.75e-48***
