Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),C-Time k=2 (s),C-Time k=X (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,3.40011,2.31369,2.23972,1.17638,1.46956,1.46705,1.47196,-31.95257,435.49494,9.49e-37***
stanford-bunny,bsah,4,k-way,2.52708,1.85135,1.44517,0.76399,1.365,1.36344,1.36658,-26.73974,510.91255,1.60e-38***
suzanne,bsah,4,k-way,1.33261,1.22266,0.01424,0.00748,1.08993,1.08837,1.09153,-8.25133,109.79287,9.27e-27***
teapot,bsah,4,k-way,1.07702,1.0245,0.1052,0.05554,1.05126,1.0494,1.05315,-4.87641,52.1122,5.83e-21***
armadillo,median,4,k-way,2.24415,1.95837,0.82518,0.51131,1.14593,1.14357,1.1481,-12.73453,129.36984,3.72e-28***
stanford-bunny,median,4,k-way,1.78579,1.5261,0.52347,0.30313,1.17016,1.1663,1.17403,-14.5418,87.4021,1.01e-23***
suzanne,median,4,k-way,1.61851,1.30972,0.00498,0.00261,1.23577,1.23206,1.23918,-19.07885,125.76775,3.13e-18***
teapot,median,4,k-way,1.21275,1.22842,0.03973,0.02523,0.98724,0.98498,0.98948,1.29221,-10.51893,8.19e-09***
armadillo,sah,4,k-way,3.73054,3.33946,2.6006,2.25997,1.11711,1.11522,1.11903,-10.48302,120.72193,8.64e-27***
stanford-bunny,sah,4,k-way,2.7278,2.50127,1.67161,1.47359,1.09057,1.0879,1.09332,-8.30474,63.31094,5.73e-15***
suzanne,sah,4,k-way,1.27401,1.16036,0.0157,0.01307,1.09794,1.09411,1.10172,-8.92019,49.59677,1.27e-19***
teapot,sah,4,k-way,1.06066,0.9523,0.1167,0.10129,1.11379,1.11122,1.11609,-10.21616,88.87751,1.13e-19***
armadillo,bsah,4,collapsed,3.40011,3.38803,2.23972,2.27448,1.00357,1.00233,1.00483,-0.35537,5.30358,7.95e-05***
stanford-bunny,bsah,4,collapsed,2.52708,2.49692,1.44517,1.46629,1.01208,1.0106,1.01336,-1.19367,16.46919,3.89e-11***
suzanne,bsah,4,collapsed,1.33261,1.22022,0.01424,0.01446,1.09211,1.09049,1.09383,-8.43441,106.8232,1.13e-26***
teapot,bsah,4,collapsed,1.07702,1.04066,0.1052,0.10744,1.03493,1.03334,1.03656,-3.37536,41.06217,8.38e-19***
armadillo,median,4,collapsed,2.24415,2.4098,0.82518,0.88662,0.93126,0.92968,0.93269,7.38168,-82.30844,1.46e-23***
stanford-bunny,median,4,collapsed,1.78579,1.8915,0.52347,0.5643,0.94411,0.94141,0.94645,5.9194,-40.58541,1.02e-14***
suzanne,median,4,collapsed,1.61851,1.6826,0.00498,0.0055,0.96191,0.95898,0.96455,3.95953,-25.1045,7.72e-12***
teapot,median,4,collapsed,1.21275,1.26948,0.03973,0.04314,0.95531,0.95303,0.95755,4.67803,-35.81914,5.30e-18***
armadillo,sah,4,collapsed,3.73054,3.71416,2.6006,2.63996,1.00441,1.00282,1.00604,-0.43897,5.14812,8.04e-05***
stanford-bunny,sah,4,collapsed,2.7278,2.69186,1.67161,1.69358,1.01335,1.01083,1.01595,-1.31761,9.68414,5.17e-07***
suzanne,sah,4,collapsed,1.27401,1.16739,0.0157,0.01613,1.09133,1.08817,1.09439,-8.36894,55.30888,8.20e-15***
teapot,sah,4,collapsed,1.06066,1.01793,0.1167,0.11924,1.04198,1.03937,1.04442,-4.02908,31.34467,3.06e-16***
armadillo,bsah,8,k-way,3.40011,2.29491,2.23972,0.77698,1.48159,1.4796,1.48365,-32.50486,504.73361,1.39e-31***
stanford-bunny,bsah,8,k-way,2.52708,1.881,1.44517,0.51541,1.34348,1.3419,1.34505,-25.56635,468.78781,3.17e-38***
suzanne,bsah,8,k-way,1.33261,1.68716,0.01424,0.0049,0.78986,0.78881,0.79085,26.60544,-345.25059,7.96e-36***
teapot,bsah,8,k-way,1.07702,1.28991,0.1052,0.03908,0.83495,0.83382,0.83608,19.76707,-258.37508,2.79e-30***
armadillo,median,8,k-way,2.24415,2.18704,0.82518,0.37225,1.02611,1.02333,1.02901,-2.54491,17.61965,4.99e-11***
stanford-bunny,median,8,k-way,1.78579,1.93818,0.52347,0.25928,0.92137,0.9184,0.92416,8.53345,-48.8532,3.17e-20***
suzanne,median,8,k-way,1.61851,1.86522,0.00498,0.00259,0.86773,0.86487,0.8704,15.24281,-85.04856,3.91e-23***
teapot,median,8,k-way,1.21275,1.65816,0.03973,0.02069,0.73138,0.72963,0.73314,36.72734,-238.92645,5.59e-32***
armadillo,sah,8,k-way,3.73054,3.89296,2.6006,2.45796,0.95828,0.95632,0.96013,4.35401,-39.80458,3.31e-18***
stanford-bunny,sah,8,k-way,2.7278,2.93138,1.67161,1.61244,0.93055,0.92803,0.93311,7.46289,-49.42673,1.33e-18***
suzanne,sah,8,k-way,1.27401,1.59119,0.0157,0.01399,0.80066,0.79829,0.80295,24.89647,-154.26695,2.86e-23***
teapot,sah,8,k-way,1.06066,1.28638,0.1167,0.11136,0.82453,0.82255,0.82632,21.28121,-163.18125,1.53e-28***
armadillo,bsah,8,collapsed,3.40011,4.14362,2.23972,2.29914,0.82057,0.81955,0.82159,21.86714,-300.64322,9.98e-34***
stanford-bunny,bsah,8,collapsed,2.52708,3.14476,1.44517,1.47953,0.80359,0.80276,0.80439,24.44227,-389.26883,3.46e-35***
suzanne,bsah,8,collapsed,1.33261,1.80294,0.01424,0.01467,0.73914,0.73815,0.74013,35.29314,-421.1212,7.53e-37***
teapot,bsah,8,collapsed,1.07702,1.51159,0.1052,0.10883,0.71251,0.71138,0.71363,40.34962,-393.81474,4.00e-35***
armadillo,median,8,collapsed,2.24415,3.58875,0.82518,0.90628,0.62533,0.62412,0.62641,59.9159,-450.61571,1.16e-32***
stanford-bunny,median,8,collapsed,1.78579,2.66799,0.52347,0.57858,0.66934,0.66742,0.671,49.40114,-309.33374,3.65e-31***
suzanne,median,8,collapsed,1.61851,2.50442,0.00498,0.00574,0.64626,0.64431,0.64799,54.73635,-330.14694,1.14e-28***
teapot,median,8,collapsed,1.21275,2.00587,0.03973,0.04439,0.6046,0.60338,0.6058,65.39839,-533.25618,6.27e-37***
armadillo,sah,8,collapsed,3.73054,4.40579,2.6006,2.66321,0.84673,0.84554,0.84791,18.1008,-228.66964,4.29e-28***
stanford-bunny,sah,8,collapsed,2.7278,3.30518,1.67161,1.70743,0.82531,0.82329,0.82739,21.16648,-155.67389,4.02e-21***
suzanne,sah,8,collapsed,1.27401,1.67932,0.0157,0.01637,0.75864,0.75646,0.76074,31.81409,-203.13197,4.03e-23***
teapot,sah,8,collapsed,1.06066,1.44301,0.1167,0.12065,0.73504,0.73341,0.73646,36.04792,-305.02738,1.89e-28***
armadillo,bsah,16,k-way,3.40011,2.71892,2.23972,0.61158,1.25054,1.24889,1.25218,-20.03449,304.67718,1.11e-29***
stanford-bunny,bsah,16,k-way,2.52708,2.18911,1.44517,0.40246,1.15439,1.15299,1.15577,-13.37413,222.58218,9.71e-32***
suzanne,bsah,16,k-way,1.33261,2.10937,0.01424,0.00365,0.63176,0.63083,0.6327,58.28817,-542.54681,4.43e-33***
teapot,bsah,16,k-way,1.07702,1.86668,0.1052,0.03282,0.57697,0.57548,0.57819,73.31944,-360.08692,1.51e-23***
armadillo,median,16,k-way,2.24415,3.45045,0.82518,0.40127,0.65039,0.64916,0.65152,53.75305,-427.25983,1.31e-33***
stanford-bunny,median,16,k-way,1.78579,3.03071,0.52347,0.2828,0.58923,0.58737,0.591,69.71255,-331.9776,2.33e-34***
suzanne,median,16,k-way,1.61851,2.42449,0.00498,0.00213,0.66757,0.6654,0.66957,49.79743,-256.50519,3.91e-33***
teapot,median,16,k-way,1.21275,3.20481,0.03973,0.01979,0.37842,0.37756,0.37926,164.25968,-782.30778,4.36e-33***
armadillo,sah,16,k-way,3.73054,5.56126,2.6006,3.17315,0.67081,0.66945,0.67202,49.07405,-362.46598,8.97e-30***
stanford-bunny,sah,16,k-way,2.7278,4.00592,1.67161,2.04452,0.68094,0.67928,0.68265,46.85533,-338.52266,2.25e-26***
suzanne,sah,16,k-way,1.27401,2.23016,0.0157,0.01646,0.57126,0.5696,0.57285,75.05072,-450.54396,1.18e-31***
teapot,sah,16,k-way,1.06066,2.41702,0.1167,0.14108,0.43883,0.43777,0.43978,127.87827,-691.25803,1.09e-36***
armadillo,bsah,16,collapsed,3.40011,14.79272,2.23972,2.31925,0.22985,0.22955,0.23014,335.06537,-1761.242,1.43e-30***
stanford-bunny,bsah,16,collapsed,2.52708,10.80216,1.44517,1.49313,0.23394,0.23373,0.23416,327.45599,-2335.84121,2.43e-31***
suzanne,bsah,16,collapsed,1.33261,8.4426,0.01424,0.01496,0.15784,0.15764,0.15806,533.53668,-1829.23154,4.18e-28***
teapot,bsah,16,collapsed,1.07702,6.60801,0.1052,0.10984,0.16299,0.16273,0.16324,513.54735,-1488.61778,3.98e-27***
armadillo,median,16,collapsed,2.24415,19.37393,0.82518,0.92169,0.11583,0.11562,0.11602,763.30881,-1448.15366,2.76e-26***
stanford-bunny,median,16,collapsed,1.78579,12.11086,0.52347,0.58954,0.14745,0.14703,0.14782,578.18025,-1494.01495,2.02e-31***
suzanne,median,16,collapsed,1.61851,11.99554,0.00498,0.00598,0.13493,0.13451,0.1353,641.14711,-1368.81964,7.28e-30***
teapot,median,16,collapsed,1.21275,7.88228,0.03973,0.04532,0.15386,0.15353,0.15419,549.95017,-1319.92459,1.20e-27***
armadillo,sah,16,collapsed,3.73054,14.46258,2.6006,2.68509,0.25794,0.25758,0.25831,287.68099,-1837.09152,3.03e-36***
stanford-bunny,sah,16,collapsed,2.7278,10.62633,1.67161,1.71909,0.2567,0.25607,0.25736,289.55636,-1331.40879,2.61e-42***
suzanne,sah,16,collapsed,1.27401,7.90616,0.0157,0.01668,0.16114,0.16065,0.16162,520.57418,-1139.06411,4.07e-29***
teapot,sah,16,collapsed,1.06066,6.29939,0.1167,0.12159,0.16838,0.16802,0.16868,493.91065,-3251.40017,4.52e-53***
